"","sites","siteID"
"1","Abol Pond CE11236",1
"2","Abol Pond CE3373x",2
"3","Abol Pond CE3518x",3
"4","Abol Pond CE6258",4
"5","Abol Pond CE9065x",5
"6","Abol Pond NW11361",6
"7","Abol Pond NW262",7
"8","Abol Pond NW5508",8
"9","Abol Pond NW6566",9
"10","Abol Pond NW9883",10
"11","Abol Pond SW9743",11
"12","Addison CE12008",12
"13","Addison CE14122",13
"14","Addison CE6296",14
"15","Addison CE7377",15
"16","Addison CE7729",16
"17","Addison NW18179",17
"18","Addison NW22315x",18
"19","Addison NW3521",19
"20","Addison NW5666",20
"21","Addison NW6636x",21
"22","Addison SW13091",22
"23","Addison SW13893",23
"24","Addison SW13992",24
"25","Addison SW15977",25
"26","Addison SW17288",26
"27","Albion CE11938",27
"28","Albion CE14017x",28
"29","Albion CE17314",29
"30","Albion CE3399",30
"31","Albion CE682",31
"32","Albion NW12430",32
"33","Albion NW12740",33
"34","Albion NW41296x",34
"35","Albion NW43319x",35
"36","Albion NW6704",36
"37","Albion SW15971",37
"38","Albion SW1798",38
"39","Albion SW3018",39
"40","Albion SW3997",40
"41","Albion SW6650",41
"42","Alder Brook CE13618",42
"43","Alder Brook CE17924",43
"44","Alder Brook CE30462x",44
"45","Alder Brook CE36904x",45
"46","Alder Brook CE8252",46
"47","Alder Brook SW11867",47
"48","Alder Brook SW1580",48
"49","Alder Brook SW18471",49
"50","Alder Brook SW8868",50
"51","Alder Brook SW9953",51
"52","Alfred CE18279x",52
"53","Alfred CE25613x",53
"54","Alfred CE879",54
"55","Alfred NW14630",55
"56","Alfred NW15751",56
"57","Alfred NW2861",57
"58","Alfred NW3297",58
"59","Alfred NW9654",59
"60","Alfred SW17023",60
"61","Alfred SW7570",61
"62","Alfred SW8213",62
"63","Alfred SW8549",63
"64","Alfred SW8699",64
"65","Allagash CE10313",65
"66","Allagash CE12377",66
"67","Allagash CE17285",67
"68","Allagash CE25181x",68
"69","Allagash CE8637",69
"70","Allagash Falls NW10168",70
"71","Allagash Falls NW17406",71
"72","Allagash Falls NW18426",72
"73","Allagash Falls NW4049",73
"74","Allagash Falls NW4916",74
"75","Allagash Lake NW11539",75
"76","Allagash Lake NW12068",76
"77","Allagash Lake NW786",77
"78","Allagash Lake NW8402",78
"79","Allagash Lake NW9969",79
"80","Allagash Lake SW14176",80
"81","Allagash Lake SW15898",81
"82","Allagash Lake SW2359",82
"83","Allagash Lake SW3359",83
"84","Allagash Lake SW7035",84
"85","Allagash NW10720x",85
"86","Allagash NW149",86
"87","Allagash NW21796x",87
"88","Allagash NW5303",88
"89","Allagash NW7813x",89
"90","Allagash Pond CE10452",90
"91","Allagash Pond CE15774",91
"92","Allagash Pond CE16056",92
"93","Allagash Pond CE17166",93
"94","Allagash Pond CE9906",94
"95","Allagash Pond NW1387",95
"96","Allagash Pond NW15886x",96
"97","Allagash Pond NW17513",97
"98","Allagash Pond NW2735",98
"99","Allagash Pond NW5091",99
"100","Allagash Pond SW17725",100
"101","Allagash Pond SW4402",101
"102","Allagash Pond SW52924x",102
"103","Allagash SW10837",103
"104","Allagash SW10890",104
"105","Allagash SW12849",105
"106","Allagash SW8353",106
"107","Allagash SW8455",107
"108","Alligator Lake CE10630",108
"109","Alligator Lake CE17400",109
"110","Alligator Lake CE6036",110
"111","Alligator Lake CE612",111
"112","Alligator Lake CE8557",112
"113","Alligator Lake NW1117",113
"114","Alligator Lake NW1252",114
"115","Alligator Lake NW146",115
"116","Alligator Lake NW2449",116
"117","Alligator Lake NW641",117
"118","Alligator Lake SW10677",118
"119","Alligator Lake SW15245",119
"120","Alligator Lake SW2677",120
"121","Alligator Lake SW6195",121
"122","Alligator Lake SW9487",122
"123","Amherst CE10404",123
"124","Amherst CE13602",124
"125","Amherst CE15714",125
"126","Amherst CE17646x",126
"127","Amherst CE19675x",127
"128","Amherst CE62191x",128
"129","Amherst NW12213",129
"130","Amherst NW12689",130
"131","Amherst NW27407x",131
"132","Amherst NW5547",132
"133","Amherst NW7037",133
"134","Amherst SW10008x",134
"135","Amherst SW1044",135
"136","Amherst SW13472",136
"137","Amherst SW16040",137
"138","Amherst SW5763",138
"139","Andover CE11550",139
"140","Andover CE136x",140
"141","Andover CE1729",141
"142","Andover CE2451",142
"143","Andover CE26087x",143
"144","Andover NW11148",144
"145","Andover NW13112",145
"146","Andover NW17468",146
"147","Andover NW34446x",147
"148","Andover NW52947x",148
"149","Andover SW10950",149
"150","Andover SW12390",150
"151","Andover SW13222",151
"152","Andover SW2839",152
"153","Andover SW6375",153
"154","Ashland CE14750",154
"155","Ashland CE2167",155
"156","Ashland CE543",156
"157","Ashland CE8662",157
"158","Ashland CE9681",158
"159","Ashland NW10285",159
"160","Ashland NW110",160
"161","Ashland NW15010",161
"162","Ashland NW2453x",162
"163","Ashland NW8379",163
"164","Ashland SW15825",164
"165","Ashland SW16456",165
"166","Ashland SW16890",166
"167","Ashland SW2160",167
"168","Ashland SW4536",168
"169","Athens CE11687",169
"170","Athens CE17210",170
"171","Athens CE17794",171
"172","Athens CE461",172
"173","Athens CE5435",173
"174","Athens NW11294",174
"175","Athens NW1532",175
"176","Athens NW15910x",176
"177","Athens NW6017",177
"178","Athens SW18336",178
"179","Athens SW5297",179
"180","Athens SW5851",180
"181","Athens SW6193",181
"182","Athens SW8560",182
"183","Attean Pond SW13883",183
"184","Attean Pond SW14419",184
"185","Attean Pond SW65078x",185
"186","Augusta CE10210x",186
"187","Augusta CE14271",187
"188","Augusta CE17422",188
"189","Augusta CE3168x",189
"190","Augusta CE4641",190
"191","Augusta NW10485",191
"192","Augusta NW11303",192
"193","Augusta NW18475",193
"194","Augusta NW27684x",194
"195","Augusta NW48238x",195
"196","Augusta SW16563",196
"197","Augusta SW18534",197
"198","Augusta SW44543x",198
"199","Augusta SW46436x",199
"200","Augusta SW4651",200
"201","Augusta SW64150x",201
"202","Augusta SWG_51x",202
"203","B Pond CE10760",203
"204","B Pond CE12351",204
"205","B Pond CE37496x",205
"206","B Pond CE4451",206
"207","B Pond CE5092",207
"208","B Pond NW11260",208
"209","B Pond NW16701",209
"210","B Pond NW1789",210
"211","B Pond NW18318",211
"212","B Pond NW940",212
"213","B Pond SW15363",213
"214","B Pond SW1751",214
"215","B Pond SW18066",215
"216","B Pond SW22805x",216
